consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
470,20.06,2.0,5.0,0.0
474,23.54,1.0,1.0,0.0
475,,1.0,,0.0
476,0.0,3.0,4.0,0.0
477,,1.0,,0.0
478,6.39,1.0,2.0,0.0
479,157.91,1.0,,0.0
481,0.0,1.0,,0.0
482,30.52,1.0,1.0,0.0
483,,1.0,1.0,1.0
484,,1.0,,0.0
485,,1.0,,0.0
486,,1.0,2.0,0.0
488,,1.0,,0.0
491,124.45,1.0,,0.0
492,84.71,2.0,10.0,0.0
493,74.97,1.0,,0.0
494,0.0,1.0,,0.0
495,41.82,4.0,,0.0
497,0.0,1.0,1.0,0.0
500,0.0,1.0,,0.0
501,,1.0,,0.0
502,26.68,1.0,,0.0
503,,1.0,,0.0
504,,2.0,7.0,0.0
505,29.6,1.0,1.0,0.0
508,,1.0,,0.0
510,0.0,1.0,,0.0
511,0.0,1.0,,0.0
513,17.6,1.0,1.0,0.0
514,146.22,2.0,6.0,1.0
516,,1.0,,0.0
520,36.58,2.0,,0.0
521,0.0,1.0,,0.0
522,0.0,1.0,,0.0
523,0.0,1.0,,0.0
524,,1.0,,0.0
525,89.89,1.0,1.0,0.0
526,107.88,3.0,7.0,1.0
529,0.0,1.0,,0.0
530,159.73000000000005,1.0,5.0,0.0
531,,1.0,1.0,0.0
532,0.0,1.0,4.0,0.0
533,4.33,2.0,1.0,1.0
534,,1.0,1.0,0.0
535,31.83,1.0,1.0,0.0
537,,1.0,1.0,0.0
538,28.11,1.0,,0.0
539,4.33,2.0,3.0,1.0
540,18.74,1.0,10.0,0.0
541,,1.0,,0.0
542,,2.0,1.0,0.0
544,11.77,1.0,5.0,0.0
545,,1.0,1.0,0.0
546,65.46,2.0,3.0,1.0
547,79.36,4.0,5.0,0.0
548,,1.0,2.0,0.0
550,,2.0,,0.0
551,67.38,1.0,5.0,0.0
554,14.69,3.0,9.0,1.0
556,,1.0,17.0,7.0
557,896.01,1.0,6.0,0.0
558,,1.0,1.0,1.0
559,38.61,1.0,,0.0
560,,1.0,1.0,0.0
