consumer_id,per_day_add_item_to_cart,per_day_transactions,per_day_payment_method_change,per_day_devices_per_user,per_day_purchase_total,per_day_unique_billing_last4
800,,1.0,0.0,1.0,35.23,1.0
801,,1.0,0.0,1.0,14.71,1.0
802,3.0,1.0,0.0,1.0,21.06,1.0
803,,,0.0,1.0,,
804,,5.0,4.0,1.0,0.0,5.0
805,,,0.0,1.0,0.0,
806,2.0,,0.0,2.0,,
807,1.0,,0.0,1.0,,
809,1.0,,0.0,2.0,,
810,,,0.0,1.0,,
811,2.0,,0.0,1.0,,
812,,1.0,0.0,1.0,19.0,
813,15.0,4.0,0.0,4.0,113.13,1.0
814,,1.0,0.0,1.0,26.01,1.0
816,,1.0,0.0,1.0,21.6,1.0
817,,2.0,0.0,1.0,56.47,1.0
818,,6.0,5.0,1.0,0.0,4.0
820,,6.0,0.0,1.0,,1.0
821,,3.0,0.0,1.0,0.0,1.0
822,,1.0,0.0,1.0,0.0,1.0
823,,7.0,2.0,1.0,0.0,3.0
824,,1.0,0.0,1.0,30.19,
825,,,0.0,1.0,0.0,
826,,,0.0,2.0,0.0,1.0
827,,1.0,0.0,1.0,99.47,1.0
829,,1.0,0.0,1.0,24.04,1.0
830,,1.0,0.0,1.0,22.42,
832,,1.0,0.0,2.0,83.17,
833,,1.0,0.0,1.0,26.54,
834,1.0,,0.0,1.0,,
835,,,0.0,1.0,0.0,
836,5.0,,0.0,1.0,0.0,
837,,,0.0,1.0,0.0,
840,,2.0,0.0,2.0,14.55,1.0
841,,1.0,0.0,1.0,32.91,1.0
842,,,0.0,1.0,,
843,,,0.0,1.0,,
844,,2.0,0.0,2.0,0.0,1.0
845,,1.0,0.0,2.0,,1.0
846,,1.0,0.0,1.0,16.16,1.0
847,,1.0,0.0,1.0,31.02,1.0
848,,,0.0,1.0,0.0,
849,,1.0,0.0,1.0,3.0,
850,2.0,1.0,0.0,2.0,19.68,1.0
851,,,0.0,1.0,,
852,,1.0,0.0,1.0,,1.0
853,,1.0,0.0,1.0,20.75,
854,,1.0,0.0,1.0,24.08,1.0
855,,1.0,0.0,1.0,26.32,
856,,,0.0,1.0,0.0,
857,,,0.0,1.0,,
858,,,0.0,1.0,0.0,
859,3.0,,0.0,1.0,,
860,,1.0,0.0,1.0,21.22,
864,4.0,10.0,13.0,2.0,0.0,5.0
865,7.0,2.0,0.0,5.0,79.53,1.0
866,,,0.0,1.0,,
868,,,0.0,2.0,,
869,,,0.0,2.0,0.0,
870,,,0.0,1.0,0.0,
871,,1.0,0.0,1.0,16.18,1.0
872,,,0.0,1.0,,
873,,1.0,0.0,1.0,22.2,
874,,6.0,0.0,2.0,43.7,1.0
875,,,0.0,1.0,,
876,,5.0,3.0,1.0,0.0,3.0
879,,1.0,0.0,1.0,15.48,
880,,1.0,0.0,1.0,46.05,1.0
882,,,0.0,1.0,,
883,4.0,2.0,1.0,2.0,,2.0
884,8.0,,0.0,1.0,,
885,,,0.0,2.0,,
886,,,0.0,1.0,,
887,,1.0,0.0,1.0,22.8,
888,,2.0,0.0,2.0,128.7,
889,,,0.0,1.0,0.0,
890,,,0.0,1.0,0.0,
891,,,0.0,1.0,0.0,
892,,1.0,0.0,1.0,0.0,1.0
893,,,0.0,1.0,0.0,1.0
894,,2.0,0.0,1.0,,
895,,,0.0,1.0,0.0,1.0
896,,1.0,0.0,1.0,27.82,
